utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
6133,6133,MOT,Liz,9,and there are six pieces .,and there are six pieces .,5,5,6,7,6,6,5,Liz/020202.cha,3060,26.067,yeah I'm just gonna see if I can find the other piece for you because that's only five .,. yeah I'm just gonna see if I can find the other piece for you because that's only five .,oh no that's . . yeah I'm just gonna see if I can find the other piece for you because that's only five .
6134,6134,MOT,Liz,9,well there were .,well there were .,3,4,3,5,3,3,3,Liz/020202.cha,3066,26.067,and there are six pieces .,yeah I'm just gonna see if I can find the other piece for you because that's only five . and there are six pieces .,. yeah I'm just gonna see if I can find the other piece for you because that's only five . and there are six pieces .
6135,6135,MOT,Liz,9,"but Spot's chewed some of them to bits , hasn't she ?",but Spot's chewed some of them to bits hasn't she ?,10,14,11,12,11,11,10,Liz/020202.cha,3069,26.067,well there were .,and there are six pieces . well there were .,yeah I'm just gonna see if I can find the other piece for you because that's only five . and there are six pieces . well there were .
6136,6136,MOT,Liz,9,oh there you go .,oh there you go .,4,4,4,5,4,4,4,Liz/020202.cha,3075,26.067,but Spot's chewed some of them to bits hasn't she ?,well there were . but Spot's chewed some of them to bits hasn't she ?,and there are six pieces . well there were . but Spot's chewed some of them to bits hasn't she ?
6137,6137,MOT,Liz,9,there's the other piece .,there's the other piece .,4,5,6,7,6,6,4,Liz/020202.cha,3078,26.067,oh there you go .,but Spot's chewed some of them to bits hasn't she ? oh there you go .,well there were . but Spot's chewed some of them to bits hasn't she ? oh there you go .
6138,6138,MOT,Liz,9,you're all right .,you're all right .,3,4,3,4,3,3,3,Liz/020202.cha,3081,26.067,there's the other piece .,oh there you go . there's the other piece .,but Spot's chewed some of them to bits hasn't she ? oh there you go . there's the other piece .
6139,6139,MOT,Liz,9,you can do that one .,you can do that one .,5,5,5,5,5,5,5,Liz/020202.cha,3084,26.067,you're all right .,there's the other piece . you're all right .,oh there you go . there's the other piece . you're all right .
6140,6140,MOT,Liz,9,yeah I'll help you .,yeah I'll help you .,4,5,4,4,4,4,4,Liz/020202.cha,3090,26.067,you can do that one .,you're all right . you can do that one .,there's the other piece . you're all right . you can do that one .
6141,6141,MOT,Liz,9,I'll just get my tea .,I'll just get my tea .,5,6,5,5,5,5,5,Liz/020202.cha,3093,26.067,yeah I'll help you .,you can do that one . yeah I'll help you .,you're all right . you can do that one . yeah I'll help you .
6142,6142,MOT,Liz,9,just get my cup of tea .,just get my cup of tea .,6,6,6,6,6,6,6,Liz/020202.cha,3099,26.067,I'll just get my tea .,yeah I'll help you . I'll just get my tea .,you can do that one . yeah I'll help you . I'll just get my tea .
6143,6143,MOT,Liz,9,oh: what's that you've just put in ?,oh what's that you've just put in ?,7,10,7,8,7,7,7,Liz/020202.cha,3112,26.067,just get my cup of tea .,I'll just get my tea . just get my cup of tea .,yeah I'll help you . I'll just get my tea . just get my cup of tea .
6144,6144,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,3118,26.067,oh what's that you've just put in ?,just get my cup of tea . oh what's that you've just put in ?,I'll just get my tea . just get my cup of tea . oh what's that you've just put in ?
6145,6145,MOT,Liz,9,mhm .,mhm .,1,1,1,1,1,1,1,Liz/020202.cha,3124,26.067,yeah .,oh what's that you've just put in ? yeah .,just get my cup of tea . oh what's that you've just put in ? yeah .
6146,6146,MOT,Liz,9,she did chew look .,she did chew look .,4,5,4,4,4,4,4,Liz/020202.cha,3133,26.067,mhm .,yeah . mhm .,oh what's that you've just put in ? yeah . mhm .
6147,6147,MOT,Liz,9,"oh she's naughty , isn't she ?",oh she's naughty isn't she ?,5,8,6,6,6,6,5,Liz/020202.cha,3136,26.067,she did chew look .,mhm . she did chew look .,yeah . mhm . she did chew look .
6148,6148,MOT,Liz,9,never mind .,never mind .,2,2,3,3,3,3,2,Liz/020202.cha,3139,26.067,oh she's naughty isn't she ?,she did chew look . oh she's naughty isn't she ?,mhm . she did chew look . oh she's naughty isn't she ?
6149,6149,MOT,Liz,9,I bet you can still manage it .,I bet you can still manage it .,7,7,8,9,8,8,7,Liz/020202.cha,3142,26.067,never mind .,oh she's naughty isn't she ? never mind .,she did chew look . oh she's naughty isn't she ? never mind .
6150,6150,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,3151,26.067,I bet you can still manage it .,never mind . I bet you can still manage it .,oh she's naughty isn't she ? never mind . I bet you can still manage it .
6151,6151,MOT,Liz,9,yeah we'll hafta fix it .,yeah we'll hafta fix it .,5,6,6,6,6,6,5,Liz/020202.cha,3157,26.067,yeah .,I bet you can still manage it . yeah .,never mind . I bet you can still manage it . yeah .
